url,emails,telephones,facebook,twitter,instagram,linkedin,youtube,tiktok,contact_sources
https://hespress.com/,,,,,,,,,https://hespress.com/ ==> False
https://www.journaux.ma/,,,https://www.facebook.com/journauxMA,,,,,,"https://www.journaux.ma/ ==> True, https://www.journaux.ma/nous-contacter/ ==> True"
https://www.goud.ma/,ahmadovzahra@gmail.com,"00212 528890817, 00212238053, 212528892817",https://www.facebook.com/Goudmediaa,https://twitter.com/goudma1,https://www.instagram.com/goud.ma,,,https://www.tiktok.com/@goud.ma,"https://www.goud.ma/mentions-legales/ ==> True, https://www.goud.ma/%d9%85%d9%86-%d9%86%d8%ad%d9%86%d8%9f/ ==> True, https://www.goud.ma/#google_vignette ==> True, https://www.goud.ma/ ==> True, https://www.goud.ma/%d9%84%d9%84%d8%a5%d8%aa%d8%b5%d8%a7%d9%84/ ==> True"
https://lematin.ma/,"m.boubou@lematin.ma, redactions@lematin.ma, support@lematin.ma, contact@lematin.ma, y.baghdadi@lematin.ma","0522478838, 01:36:00/2024, 02:28:00/2024, 0669904499, +212.522.48.91.00, +212.522.20.30.48, +212.522.48.91.58, +212.522.26.88.60, 0665894112, 0522489100","https://www.facebook.com/assahraa.ma/, https://www.facebook.com/LeMatinjournal, https://www.facebook.com/lematinsports",https://twitter.com/lematinpointma,"https://www.instagram.com/lematinsports, https://www.instagram.com/lematin.ma","https://www.linkedin.com/company/groupe-le-matin, https://linkedin.com/company/groupe-le-matin","https://youtube.com/@lematinsports-6316, https://youtube.com/lematinpointma","https://www.tiktok.com/@lematin.sports, https://www.tiktok.com/@lematinpointma","https://lematin.ma/kit-media ==> True, https://lematin.ma/publicite ==> False, https://lematin.ma/qui-sommes-nous ==> True, https://lematin.ma/ ==> True, https://lematin.ma/contact ==> True, https://lematin.ma/nos-equipes ==> True"
https://menara.ma/,,"Website business with or Newspaper Sales mouhsine.abdo@usmba.ac.ma, Craig Anderson - 0111 222 3333, News desk: 0111 222 3333, 27/05/202412:38:27, 42024-05-2712:18, Mobi: 06 82 10 33 81, Advertising - Kirsty McKinney - +212 682103381, Fax: +971-3-4444111, Digital Subscriptions - 0800 788 0800 (Mon-Fri, 9-5.30pm)",https://www.facebook.com/Menara.ma/,https://twitter.com/menarama,,,https://www.youtube.com/channel/UCpsmG1-vMgaqKlbanlTcR-g,,"https://menara.ma/ ==> True, https://menara.ma/contact ==> True"
https://lefaso.net/,"admin@lefaso.net, lefasonet@yahoo.fr, lefasonet@gmail.com, ouedraogoissouf3@gmail.com, freeafrichei@gmail.com, raoul@uk4africa.com, ouedraogo.rakis@gmail.com, ouatcha@hotmail.com, divahe@yahoo.fr, cyriaque.pare@gmail.com, sekou54@yahoo.fr, theresi69@yahoo.fr, daruisdenon@yahoo.com, stevenba1@live.fr, Koandakarim1985@yahoo.fr, cyriaque.pare@lefaso.net, zigfalconpic@gmail.com, Iyempabou@yahoo.fr, benao_cynthia@yahoo.com, 0223.yahoo@gmail.com, iyempabou@yahoo.fr, drame sekou54@yahoo.fr, contact@lefaso.net, tenere99@aol.com, badoelisee@g,ail.com","79741930, 01865481498, 0022674745974, 70148644, 653270:784053433, 226)25352079226)70740751, 5059/797419305, 76451804/70593462, +6 82 10 33 81, 50.35.20.79/74.70.59.74, (226)25352079, 04/70593462, (226)74745974, 226747459747, 70234608, 78731106, (226)70740751, +33631994114, 78215922, 65082779, 70245059, 8654814987200, 226)25352079226)74745974, (00226)70250881","https://www.facebook.com/lefaso.net, https://www.facebook.com/sharer/sharer.php?u=https://lefaso.net/spip.php?article32&amp;display=popup, https://www.facebook.com/sharer/sharer.php?u=https://lefaso.net/spip.php?article5736&amp;display=popup, https://www.facebook.com/sharer/sharer.php?u=https://lefaso.net/spip.php?article64819&amp;display=popup","https://twitter.com/Lefaso_net, https://twitter.com/intent/tweet?url=https://lefaso.net/spip.php?article32&amp;text=Ecrivez-nous, https://twitter.com/intent/tweet?url=https://lefaso.net/spip.php?article64819&amp;text=Les Editions Lefaso, https://twitter.com/intent/tweet?url=https://lefaso.net/spip.php?article5736&amp;text=Publicité, https://twitter.com/Lefaso_net?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3ALefaso_net%7Ctwcon%5Es2",https://www.instagram.com/lefasonet/?hl=fr,"https://www.linkedin.com/sharing/share-offsite/?url=https://lefaso.net/spip.php?article32, https://www.linkedin.com/sharing/share-offsite/?url=https://lefaso.net/spip.php?article5736, https://www.linkedin.com/sharing/share-offsite/?url=https://lefaso.net/spip.php?article64819",https://www.youtube.com/@LefasonetTV,,"https://lefaso.net/spip.php?article64819 ==> True, https://lefaso.net/spip.php?article32&rubrique17 ==> True, https://lefaso.net/ ==> True, https://lefaso.net/spip.php?article5736&rubrique17t ==> True"
http://165.22.111.194/,,,,,,,,,http://165.22.111.194/ ==> False
https://www.lavieeco.com/,,"(0522)450555/71/72, (0522)304542, (0522)450555, (0522)450571, (0522)449421/304542, (0522)449421, (0522)450572",https://www.facebook.com/Lavieeco/,https://twitter.com/journallavieeco,https://www.instagram.com/lavieeco.maroc/?hl=fr,https://www.linkedin.com/company/la-vie-%C3%A9co/,https://www.youtube.com/channel/UCZHxKjG-Lsd9fUpxAZfSqQA,https://www.tiktok.com/@lavie_eco,"https://www.lavieeco.com/nous-contacter/ ==> True, https://www.lavieeco.com/ ==> True"
https://www.libe.ma/,"hassanbentaleb@libe.ma, alainbouithy@libe.ma, Liberation@libe.ma, mohamedbenarbia@libe.ma, admin@libe.ma, publiberation@gmail.com, nadia ghazali/admin@libe.ma, annoncesliberation@libe.ma, mohamedbouarab@libe.ma, chaabichady@libe.ma, mouradtabet@libe.ma, mehdiouassat@libe.ma, kamalmountassir@libe.ma","4""26/05/2024, 0522620972, 052261.94.04/052262.32.32, 052262.32.32, 0522619400/04, 052231.00.62, 052262.09.72, 0522619400, 052231.28.10, 052261.94.04, 22619400/04",,,,,https://www.youtube.com/watch?v=kF2CWUWYF24,,"https://www.libe.ma/ ==> True, https://www.libe.ma/pages/ ==> True"
https://femmesdumaroc.com/,"courrier@femmesdumaroc.com, courier@femmesdumaroc.com","O5.22.95.02.80, 05.22.34.72.22, O 5.22.95.02.80",https://www.facebook.com/FemmesDuMaroc.Caftan,https://twitter.com/femmesdumaroc,https://www.instagram.com/femmesdumaroc_officiel/,,https://www.youtube.com/@femmesdumaroc/featured,https://www.tiktok.com/@femmesdumaroc_officiel,"https://femmesdumaroc.com/author/fdm ==> True, https://femmesdumaroc.com/author/alaoui ==> True, https://femmesdumaroc.com/ ==> True, https://femmesdumaroc.com/qui-sommes-nous-3 ==> True"
https://aujourdhui.ma/,,"0522542009, 0522457560, 0522 547 560",https://www.facebook.com/aujourdhui.ma,https://twitter.com/AujourdhuiMa,https://www.instagram.com/aujourdhui.ma/,https://ma.linkedin.com/company/aujourd-hui-le-maroc,https://www.youtube.com/c/ALMWEBTV,,"https://aujourdhui.ma/ ==> True, https://aujourdhui.ma/contact ==> True, https://aujourdhui.ma/qui-sommes-nous ==> True, https://aujourdhui.ma/#google_vignette ==> True"
https://www.alalam.ma/,,,"https://www.facebook.com/alalamjournal/, https://www.facebook.com/alalam.web",https://twitter.com/alalam_web,https://www.instagram.com/alalam.web/,,https://www.youtube.com/channel/UCx71YxB3rtPRlRqdpi-SrNg,,"https://www.alalam.ma/%D8%A5%D8%B9%D9%84%D8%A7%D9%85-%D9%88%D8%AA%D9%88%D8%A7%D8%B5%D9%84_r17.html ==> True, https://www.alalam.ma/ ==> True"
https://kifache.com/,"kifacheinfo@gmail.com, mahlasimo@gmail.com","0522.47.26.127, Fax : 0522476127, 0522.20.56.66, 0522.46.72.45, 0522.20.56.68, Tél. : 0522.46.72.45/10, 0522476108",https://www.facebook.com/Kifache.Officiel/,https://twitter.com/kifachinfo,,,https://www.youtube.com/channel/UCDnHrNrivT4AkwJdAgE8ZCw,,"https://kifache.com/%d8%a7%d8%aa%d8%b5%d9%84-%d8%a8%d9%86%d8%a7/ ==> True, https://kifache.com/%d9%87%d9%8a%d8%a3%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%b1%d9%8a%d8%b1/ ==> True, https://kifache.com/%d9%84%d9%84%d8%a5%d8%b4%d9%87%d8%a7%d8%b1/ ==> True, https://kifache.com/ ==> True, https://kifache.com/conditions/ ==> True"
https://medi1tv.com/,"recrutement@medi1tv.com, redaction@medi1tv.com, info@medi1tv.com, commercial@regie3.ma","00212539394507, 0522950280, 00212539399800","https://www.facebook.com/Medi1TV, https://www.facebook.com/medi1tv","https://www.twitter.com/medi1tv, https://twitter.com/medi1tv","https://www.instagram.com/medi1tv/, https://www.instagram.com/medi1tv",https://www.linkedin.com/company/medi1tv/,https://www.youtube.com/medi1tv,,"https://medi1tv.com/ar/regie ==> True, https://medi1tv.com/ar/reportages/invites ==> True, https://medi1tv.com/ar/contact ==> True, https://medi1tv.com/ar/%D8%B6%D9%8A%D9%81-%D8%A7%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1 ==> True, https://medi1tv.com/ar/chaine ==> True, https://medi1tv.com/ ==> True, https://medi1tv.com/ar/%23 ==> True"
https://madame.lefigaro.fr/,,,https://fr-fr.facebook.com/MadameFigaro/,https://twitter.com/Madamefigaro,"https://www.instagram.com/madofficiel/, https://www.instagram.com/madamefigarofr/?hl=fr",https://www.linkedin.com/showcase/madame-figaro/,,,"https://madame.lefigaro.fr/ ==> True, https://faq.lefigaro.fr/hc/fr ==> False"
https://golf.lefigaro.fr/,,,https://fr-fr.facebook.com/lefigaro/,"https://twitter.com/MEDIAFIGARO, https://twitter.com/Le_Figaro","https://www.instagram.com/media.figaro/, https://www.instagram.com/14h_mediafigaro/, https://www.instagram.com/lefigaro/","https://www.linkedin.com/company/le-figaro/mycompany/, https://www.linkedin.com/company/mediafigaro/",,https://www.tiktok.com/@lefigaro,"https://faq.lefigaro.fr/hc/fr ==> False, https://golf.lefigaro.fr/ ==> True, https://media.figaro.fr/ ==> True, https://faq.lefigaro.fr/hc/fr?utm_source=faq&utm_medium=internal&utm_campaign=footer ==> False"
https://www.avito.ma/,,,https://www.facebook.com/Avito.ma,https://www.twitter.com/Avitoma,https://www.instagram.com/avito.ma,https://www.linkedin.com/company/avitomaroc/,https://www.youtube.com/channel/UCtslQB0IQ98Hfd-V3rNhzjA,,https://www.avito.ma/ ==> True
https://www.hitradio.ma/,"MAILO, reclamationdp[a] hitradio.ma, ObjetMessagecondition, EMAIL, contact@neoregie.ma, reclamationdp@hitradio.ma",", +212(0)530330330, +212-522-36-10-91, +212-522-36-10-90, +212-522-36-10-90/91, 212-522-36-10-90/91",https://www.facebook.com/HITRADIO.OFFICIEL/,https://twitter.com/hitradioma,https://www.instagram.com/hitradioma/?hl=fr,"https://www.linkedin.com/company/hit-radio/, https://www.linkedin.com/company/neoregie/",https://www.youtube.com/channel/UCoS0xYkuJq07NU92yFBEfKA,https://www.tiktok.com/@hitradio.officiel,"https://www.hitradio.ma/contact ==> True, https://www.hitradio.ma/fr/contact ==> True, https://www.hitradio.ma/ ==> True, https://www.neoregie.ma/ ==> True"
http://nouchi.com/,,678910111213141516171819202122232425262728293031,https://www.facebook.com/nouchicom,,,,,,"http://nouchi.com/contact.html ==> False, http://nouchi.com/publicite.html ==> False, http://nouchi.com/ ==> True"
https://www.meretmarine.com/fr,"abonnement@meretmarine.com, helene.marzal@meretmarine.com, helen.marzal@meretmarine.com, info@meretmarine.com","0298627530, 6724329672, 0676056550, 0298627641, 0298622093",https://www.facebook.com/MerEtMarine,https://twitter.com/MeretMarine,,https://fr.linkedin.com/company/meretmarine,,,"https://www.meretmarine.com/fr/nous-contacter#no-back ==> True, https://www.meretmarine.com/fr/qui-sommes-nous ==> True, https://www.meretmarine.com/fr ==> True"
https://www.infomediaire.net/,"marketing@infomediaire.ma, contact@cngroup.ma, commercial@cngroup.ma",0520245146,,,,,https://www.youtube.com/watch?v=kF2CWUWYF24,,"https://www.infomediaire.net/a-propos-de-nous/ ==> False, https://www.infomediaire.net/ ==> True, https://www.infomediaire.net/contact/ ==> True"
https://www.hibasport.com/,infos.amtm@gmail.com,"-18:0020:0014:0017:, 42024-05-21, 002126633971342024-, 0017:0015:00, 14:0017:0017:0015:00, 42024-05-27, 00212663397134",,,,,,,"https://www.hibasport.com/ ==> True, https://www.hibasport.com/contact.html ==> True"
https://www.abidjan.net/,info@weblogy.com,"0112040711, 0512064684, 01-12-04-07-11, 05-12-06-46-84, +01-12-04-07-11",https://www.facebook.com/abidjan.net,https://twitter.com/abidjan_net,,,https://www.youtube.com/user/abidjannetTV,,https://www.abidjan.net/ ==> True
https://www.lemag.ma/,editors@lemag.ma,"+33-140219595, +33140219595, +33-14-02-19-595",,,,,,,"https://www.lemag.ma/contacter-lequipe/ ==> True, https://www.lemag.ma/ ==> False"
https://www.bladi.net/,,,,,,,,,"https://www.bladi.net/ ==> False, https://www.bladi.net/contact.html ==> False"
https://www.alarabiya.net/,"contactus@alarabiya.net, logo@2x.png",,https://www.facebook.com/AlArabiya/,https://www.twitter.com/AlArabiya/,https://www.instagram.com/alarabiya/,https://www.linkedin.com/company/alarabiya/,https://www.youtube.com/alarabiya/,,"https://www.alarabiya.net/ ==> True, https://www.alarabiya.net/tools/mrss ==> False"
https://www.yabiladi.com/,"pub@yabiladi.com, webmaster@yabiladi.com, redaction@yabiladi.com",,https://www.facebook.com/fr.yabiladi,https://twitter.com/yabiladi_fr,,,https://www.youtube.com/c/yabiladiTv,,"https://www.yabiladi.com/contact/nous ==> True, https://www.yabiladi.com/ ==> True"
https://www.achnoo.com/,,,,,,,,,"https://www.achnoo.com/ ==> False, https://www.achnoo.com/contact/ ==> False"
https://febrayer.com/,03d@2x.png,04:3506:1913:25,https://web.facebook.com/febrayer?_rdr,https://twitter.com/Febrayer_com,https://www.instagram.com/febrayer/?hl=en,,https://www.youtube.com/channel/UCbCayPbm7dTpbyNOPuMsSfA,https://www.tiktok.com/@febrayer.com,"https://febrayer.com/category/%d8%a7%d8%b9%d9%85%d8%af%d8%a9 ==> False, https://febrayer.com/ ==> True"
https://lareleve.ma/,sreleve@yahoo.fr,"+212537736115, +212661368360",https://www.facebook.com/lareleve.ma,https://twitter.com/sitelareleve,,,"https://www.youtube.com/channel/UCd5UHAiOKrhs39YzzXs5PTQ, https://www.youtube.com/channel/UC5qP_JL9h5TTZd4Qp6wA1qA",,"https://lareleve.ma/contactez-nous/ ==> True, https://lareleve.ma/#google_vignette ==> True, https://lareleve.ma/ ==> True"
https://www.aeronautique.ma/,contact@aeronautique.ma,"0800788080, +212682103381, +971-34444111, +206823308181, +1112223333","https://www.facebook.com/Aeronautique.ma, http://www.facebook.com/share.php?u=https%3A%2F%2Fwww.aeronautique.ma%2FAeronautique-ma-Qui-sommes-nous_a4844.html","http://twitter.com/aerohebdo, http://twitter.com/intent/tweet?text=Aeronautique.ma+%3A+Qui+sommes-nous+%3F+http%3A%2F%2Fxfru.it%2FyGgqsa",http://instagram.com/aeronautique.ma/,http://www.linkedin.com/shareArticle?mini=true&amp;url=https%3A%2F%2Fwww.aeronautique.ma%2FAeronautique-ma-Qui-sommes-nous_a4844.html&amp;title=Aeronautique.ma+%3A+Qui+sommes-nous+%3F&amp;source=&amp;summary=,http://www.youtube.com/user/aeronautiquema,,"https://www.aeronautique.ma/forms/Demande-Media-Kit-2024_f5.html ==> True, https://www.aeronautique.ma/Aeronautique-ma-Qui-sommes-nous_a4844.html ==> True, https://www.aeronautique.ma/ ==> True, https://www.aeronautique.ma/forms/Pour-nous-contacter_f3.html ==> True"
https://burkina24.com/,info@burkina24.com,+(226)25-33-38-30,"https://web.facebook.com/Burkina24, https://www.facebook.com/Burkina24",https://twitter.com/burkina24,https://www.instagram.com/burkina24/,https://www.linkedin.com/company/burkina-24/,https://www.youtube.com/user/B24Ouaga/videos,"https://www.tiktok.com/@burkina_24, https://www.tiktok.com/@burkina_24?","https://burkina24.com/#google_vignette ==> True, https://burkina24.com/author/redaction-b24/ ==> True, https://burkina24.com/ ==> True"
