url,emails,telephones,facebook,twitter,instagram,linkedin,youtube,tiktok,contact_sources
https://hespress.com/,,,,,,,,,https://hespress.com/ ==> False
https://ar.hibapress.com/,"contact@hibapress.com, hamada@hibapress.com, y.othmani@hibapress.com, youssef@hibapress.com, ismail@hibapress.com, manfaloti@hibapress.com, abella@hibapress.com, abrouk@hibapress.com, baraka@hibapress.com, infos.amtm@gmail.com, ayach@hibapress.com","05-26/21:170, -05-26/21:010, 05-27/12:331, -05-26/21:210, 2-02-17/16:21, 05-24/13:4812, 05-27/11:170, 05-27/10:283, 266198837400212663397134, 212662066370, 05-26/21:010, 212661988374, 05-26/21:210, 05-26/20:490, 05-27/08:380, 05-27/13:550, 21266198837400212663397134, 05-27/13:320, 456789101112131415161718192021222324252627, 05-27/12:451, 02024-05-24/17:41",,,,,,,"https://ar.hibapress.com/ads.htm ==> True, https://ar.hibapress.com/contact.html ==> True, https://ar.hibapress.com/ ==> True, https://ar.hibapress.com/team.htm ==> True"
https://www.goud.ma/,ahmadovzahra@gmail.com,"212528892817, 00212238053",https://www.facebook.com/Goudmediaa,https://twitter.com/goudma1,https://www.instagram.com/goud.ma,,,https://www.tiktok.com/@goud.ma,"https://www.goud.ma/ ==> True, https://www.goud.ma/mentions-legales/ ==> True, https://www.goud.ma/%d9%84%d9%84%d8%a5%d8%aa%d8%b5%d8%a7%d9%84/ ==> True, https://www.goud.ma/#google_vignette ==> True, https://www.goud.ma/%d9%85%d9%86-%d9%86%d8%ad%d9%86%d8%9f/ ==> True"
https://lematin.ma/,"redactions@lematin.ma, support@lematin.ma, y.baghdadi@lematin.ma, contact@lematin.ma, m.boubou@lematin.ma","02:28:00/2024, +212.522.20.30.48, +212.522.48.91.58, +212.522.48.91.00, +212.522.26.88.60","https://www.facebook.com/assahraa.ma/, https://www.facebook.com/lematinsports, https://www.facebook.com/LeMatinjournal",https://twitter.com/lematinpointma,"https://www.instagram.com/lematin.ma, https://www.instagram.com/lematinsports","https://linkedin.com/company/groupe-le-matin, https://www.linkedin.com/company/groupe-le-matin","https://youtube.com/lematinpointma, https://youtube.com/@lematinsports-6316","https://www.tiktok.com/@lematinpointma, https://www.tiktok.com/@lematin.sports","https://lematin.ma/ ==> True, https://lematin.ma/nos-equipes ==> True, https://lematin.ma/contact ==> True, https://lematin.ma/qui-sommes-nous ==> True, https://lematin.ma/kit-media ==> True, https://lematin.ma/publicite ==> False"
https://www.journaux.ma/,,,https://www.facebook.com/journauxMA,,,,,,"https://www.journaux.ma/ ==> True, https://www.journaux.ma/nous-contacter/ ==> True"
https://menara.ma/,,"42024-05-2712:18, 024-05-2712:18",https://www.facebook.com/Menara.ma/,https://twitter.com/menarama,,,https://www.youtube.com/channel/UCpsmG1-vMgaqKlbanlTcR-g,,"https://menara.ma/contact ==> True, https://menara.ma/ ==> True, https://menara.ma/qui-sommes-nous ==> True"
https://www.lefigaro.fr/,,,https://fr-fr.facebook.com/lefigaro/,"https://twitter.com/MEDIAFIGARO, https://twitter.com/Le_Figaro","https://www.instagram.com/14h_mediafigaro/, https://www.instagram.com/lefigaro/, https://www.instagram.com/media.figaro/","https://www.linkedin.com/company/le-figaro/mycompany/, https://www.linkedin.com/company/mediafigaro/",,https://www.tiktok.com/@lefigaro,"https://www.lefigaro.fr/ ==> True, https://faq.lefigaro.fr/hc/fr?utm_source=faq&utm_medium=internal&utm_campaign=footer ==> False, https://media.figaro.fr/ ==> True, https://faq.lefigaro.fr/hc/fr ==> False"
https://www.leconomiste.com/,"redaction@leconomiste.com, communication@leconomiste.com, abonnement@leconomiste.com, mareaction@leconomiste.com, publicite@leconomiste.com","/08/2016-15:29, +212522953600, +212522365926",https://www.facebook.com/leconomistemaroc,https://twitter.com/Leconomiste_?utm_,https://www.instagram.com/leconomiste.officiel/,https://www.linkedin.com/company/leconomistemaroc,https://www.youtube.com/user/GroupeEcomedias?utm_,,"https://www.leconomiste.com/videos-institutionnelles ==> True, https://www.leconomiste.com/ ==> True, https://www.leconomiste.com/contact ==> True, https://www.leconomiste.com/membres-economiste ==> True"
https://www.lemonde.fr/,droitsdauteur@lemonde.fr,9522125107875,"https://www.facebook.com/lemonde.fr, https://www.facebook.com/privacy/policy/version/20220104","https://twitter.com/fr/privacy, https://twitter.com/lemondefr","https://www.instagram.com/lemondefr/?hl=fr, https://help.instagram.com/519522125107875/?helpref=uf_share",https://fr.linkedin.com/legal/privacy-policy/,https://www.youtube.com/user/LeMonde,https://www.tiktok.com/@lemondefr,"https://www.lemonde.fr/syndication/ ==> True, https://arcade.lemonde.fr/echecs/ ==> False, https://www.lemonde.fr/ ==> True"
https://lefaso.net/,"admin@lefaso.net, stevenba1@live.fr, daruisdenon@yahoo.com, lefasonet@gmail.com, ouedraogo.rakis@gmail.com, zigfalconpic@gmail.com, tenere99@aol.com, iyempabou@yahoo.fr, benao_cynthia@yahoo.com, theresi69@yahoo.fr, ouatcha@hotmail.com, divahe@yahoo.fr, sekou54@yahoo.fr, ouedraogoissouf3@gmail.com, Koandakarim1985@yahoo.fr, raoul@uk4africa.com, lefasonet@yahoo.fr, cyriaque.pare@gmail.com, 0223.yahoo@gmail.com, contact@lefaso.net, cyriaque.pare@lefaso.net, freeafrichei@gmail.com","70245059/797419305, 226)25352079226)74745974, +33631994114, (226)74745974, 6/7014864413, 226)25352079226)70740751, (226)25352079, 451804/70593462, 653270:784053433, 226747459747, 8654814987200, (226)70740751, 79/74.74.59.74, 446776739","https://www.facebook.com/sharer/sharer.php?u=https://lefaso.net/spip.php?article5736&amp;display=popup, https://www.facebook.com/sharer/sharer.php?u=https://lefaso.net/spip.php?article32&amp;display=popup, https://www.facebook.com/lefaso.net, https://www.facebook.com/sharer/sharer.php?u=https://lefaso.net/spip.php?article64819&amp;display=popup","https://twitter.com/intent/tweet?url=https://lefaso.net/spip.php?article32&amp;text=Ecrivez-nous, https://twitter.com/Lefaso_net?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3ALefaso_net%7Ctwcon%5Es2, https://twitter.com/intent/tweet?url=https://lefaso.net/spip.php?article64819&amp;text=Les Editions Lefaso, https://twitter.com/intent/tweet?url=https://lefaso.net/spip.php?article5736&amp;text=Publicité, https://twitter.com/Lefaso_net",https://www.instagram.com/lefasonet/?hl=fr,"https://www.linkedin.com/sharing/share-offsite/?url=https://lefaso.net/spip.php?article32, https://www.linkedin.com/sharing/share-offsite/?url=https://lefaso.net/spip.php?article64819, https://www.linkedin.com/sharing/share-offsite/?url=https://lefaso.net/spip.php?article5736",https://www.youtube.com/@LefasonetTV,,"https://lefaso.net/spip.php?article32&rubrique17 ==> True, https://lefaso.net/ ==> True, https://lefaso.net/spip.php?article64819 ==> True, https://lefaso.net/spip.php?article5736&rubrique17t ==> True"
http://165.22.111.194/,,,,,,,,,http://165.22.111.194/ ==> False
https://lobservateur.info/,,"+212522465950, +212522260147, +212522465960",https://www.facebook.com/LobservateurDuMaroc/,https://twitter.com/LObsMarAf,https://www.instagram.com/lobservateur_du_maroc/,,https://www.youtube.com/channel/UCcvFra8f68F2jWHmV_JyshA,,"https://lobservateur.info/ ==> True, https://lobservateur.info/contact ==> True"
https://lnt.ma/,,,https://www.facebook.com/LaNouvelleTribune,https://twitter.com/lanouvelleT,https://www.instagram.com/lnt.ma/?hl=fr,https://www.linkedin.com/company/la-nouvelle-tribune,,,"https://lnt.ma/contact/ ==> True, https://lnt.ma/ ==> True, https://lnt.ma/a-propos/ ==> True"
