url,type,error_message
https://www.hespress.com/,Error,"==>>> Error : emails 
=> in extract_contact_information() at ContactProcessing
=> (current_link = https://www.hespress.com/)"
https://www.leconomiste.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('http://www.ecomedias.ma/', 'Publicité') 
=> base_url == https://www.leconomiste.com/"
https://menara.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('http://www.iam.ma/particulier/aide-et-assistance/Mobile/faq.aspx', 'مساعدة') 
=> base_url == https://menara.ma/"
https://www.lemonde.fr/,Error,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == None)
=> (contact_link = ('https://www.lemonde.fr/syndication/', 'Réutiliser nos contenus'))"
https://www.lemonde.fr/,Error,"==>>> Error : tuple index out of range
=> in scraping_contact() at ContactScraping"
https://menara.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('/qui-sommes-nous', 'من نحن؟') 
=> base_url == https://menara.ma/"
https://femmesdumaroc.com/,Error,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == None)
=> (contact_link = ('https://femmesdumaroc.com/author/alaoui', 'parLa rédaction'))"
https://femmesdumaroc.com/,Error,"==>>> Error : tuple index out of range
=> in scraping_contact() at ContactScraping"
https://ar.hibapress.com/,Error,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == None)
=> (contact_link = ('https://ar.hibapress.com/contact.html', 'اتصل بنا'))"
https://ar.hibapress.com/,Error,"==>>> Error : tuple index out of range
=> in scraping_contact() at ContactScraping"
https://menara.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('/contact', 'اتصل بنا') 
=> base_url == https://menara.ma/"
https://www.lavieeco.com/,Error,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == None)
=> (contact_link = ('https://www.lavieeco.com/a-propos-de-la-vie-eco/', 'À propos de La Vie éco'))"
https://lefaso.net/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('/spip.php?article29&rubrique17', 'A propos...') 
=> base_url == https://lefaso.net/"
https://www.goud.ma/,Error,"==>>> Error : tuple index out of range
=> in scraping_contact() at ContactScraping"
https://lefaso.net/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('#/', 'Responsabilité') 
=> base_url == https://lefaso.net/"
https://www.alalam.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/اتصل-بنا_a8374.html?preview=1', 'اتصل بنا') 
=> base_url == https://www.alalam.ma/"
https://lobservateur.info/,Error,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == https://lobservateur.info/contact)
=> (contact_link = ('https://lobservateur.info/lequipe', ""L'équipe""))"
https://www.alalam.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للنشر-في-العلم_a8321.html', 'للنشر في العلم') 
=> base_url == https://www.alalam.ma/"
https://lobservateur.info/,Error,"==>>> Error : tuple index out of range 
=> in for contact_link in contact_links:...
=>(current_url_contact == https://lobservateur.info/contact)
=> (contact_link = ('https://lobservateur.info/lequipe', ""L'équipe""))"
https://www.alalam.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للإشهار_a8373.html?preview=1', 'للإشهار') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/اتصل-بنا_a8374.html?preview=1', 'اتصل بنا') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للنشر-في-العلم_a8321.html', 'للنشر في العلم') 
=> base_url == https://www.alalam.ma/"
https://www.alalam.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://www.alalam.ma/للإشهار_a8373.html?preview=1', 'للإشهار') 
=> base_url == https://www.alalam.ma/"
https://www.lavieeco.com/,Error,"==>>> Error : tuple index out of range
=> in scraping_contact() at ContactScraping"
https://www.abidjan.net/,Error,"==>>> Error : emails 
=> in extract_contact_information() at ContactProcessing
=> (current_link = https://www.abidjan.net/)"
http://aniamey.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('http://weblogymedia.com/sites-en-regie/aNiamey-com', 'Contactez nous...') 
=> base_url == http://aniamey.com/"
https://www.aeronautique.ma/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('mailto:contact@aeronautique.ma', 'CONTACT') 
=> base_url == https://www.aeronautique.ma/"
https://www.yabiladi.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://pub.yabiladi.com/', 'Publicité') 
=> base_url == https://www.yabiladi.com/"
https://burkina24.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('http://www.burkina24.com/contactez-nous', 'Contact') 
=> base_url == https://burkina24.com/"
https://burkina24.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('http://162.241.218.157:2095/', 'Webmail') 
=> base_url == https://burkina24.com/"
https://econostrum.info/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://econostrum.info/redaction/', 'La rédaction') 
=> base_url == https://econostrum.info/"
https://econostrum.info/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://econostrum.info/publicite/', 'Publicité') 
=> base_url == https://econostrum.info/"
https://febrayer.com/,Warning,"==>>> Warning : contact link not found => contact_link == ('https://febrayer.com/category/offres-demploi-maroc', 'فرص عمل') 
=> base_url == https://febrayer.com/"
https://febrayer.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://febrayer.com/category/offres-demploi-maroc', 'فرص عمل') 
=> base_url == https://febrayer.com/"
https://econostrum.info/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://econostrum.info/a-propos/', 'Qui sommes-nous ?') 
=> base_url == https://econostrum.info/"
https://febrayer.com/,Warning,"==>>> Warning : contact link not found => contact_link == ('https://febrayer.com/category/economie', 'مال و اعمال') 
=> base_url == https://febrayer.com/"
https://febrayer.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://febrayer.com/category/economie', 'مال و اعمال') 
=> base_url == https://febrayer.com/"
https://febrayer.com/,Warning,"==>>> Warning : contact link not found => contact_link == ('https://febrayer.com/category/offres-demploi-maroc', 'فرص عمل') 
=> base_url == https://febrayer.com/"
https://febrayer.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://febrayer.com/category/offres-demploi-maroc', 'فرص عمل') 
=> base_url == https://febrayer.com/"
https://febrayer.com/,Warning,"==>>> Warning : contact link not found => contact_link == ('https://febrayer.com/1056528.html', 'لكحص اكتشفني') 
=> base_url == https://febrayer.com/"
https://febrayer.com/,Warning,"==>>> Warning : Unable to access contact page => contact_link == ('https://febrayer.com/1056528.html', 'لكحص اكتشفني') 
=> base_url == https://febrayer.com/"
